TOP.595ecc12.00062fa5	START
TOP.595ecc46.0000a3da	user_options->increment	0
TOP.595ecc46.0000a3da	user_options->increment_max	54
TOP.595ecc46.0000a3da	user_options->increment_min	1
TOP.595ecc46.0000a3da	user_options->keep_guessing	0
TOP.595ecc46.0000a3da	user_options->kernel_accel	0
TOP.595ecc46.0000a3da	user_options->kernel_loops	0
TOP.595ecc46.0000a3da	user_options->keyspace	0
TOP.595ecc46.0000a3da	user_options->left	0
TOP.595ecc46.0000a3da	user_options->logfile_disable	0
TOP.595ecc46.0000a3da	user_options->loopback	0
TOP.595ecc46.0000a3da	user_options->machine_readable	0
TOP.595ecc46.0000a3da	user_options->markov_classic	0
TOP.595ecc46.0000a3da	user_options->markov_disable	0
TOP.595ecc46.0000a3da	user_options->markov_threshold	32
TOP.595ecc46.0000a3da	user_options->nvidia_spin_damp	100
TOP.595ecc46.0000a3da	user_options->opencl_info	0
TOP.595ecc46.0000a3da	user_options->opencl_vector_width	0
TOP.595ecc46.0000a3da	user_options->outfile_autohex	1
TOP.595ecc46.0000a3da	user_options->outfile_check_timer	5
TOP.595ecc46.0000a3da	user_options->outfile_format	3
TOP.595ecc46.0000a3da	user_options->potfile_disable	0
TOP.595ecc46.0000a3da	user_options->powertune_enable	0
TOP.595ecc46.0000a3da	user_options->quiet	0
TOP.595ecc46.0000a3da	user_options->remove	0
TOP.595ecc46.0000a3da	user_options->remove_timer	60
TOP.595ecc46.0000a3da	user_options->restore	0
TOP.595ecc46.0000a3da	user_options->restore_disable	0
TOP.595ecc46.0000a3da	user_options->restore_timer	60
TOP.595ecc46.0000a3da	user_options->rp_files_cnt	0
TOP.595ecc46.0000a3da	user_options->rp_gen	0
TOP.595ecc46.0000a3da	user_options->rp_gen_func_max	4
TOP.595ecc46.0000a3da	user_options->rp_gen_func_min	1
TOP.595ecc46.0000a3da	user_options->rp_gen_seed	0
TOP.595ecc46.0000a3da	user_options->runtime	0
TOP.595ecc46.0000a3da	user_options->scrypt_tmto	0
TOP.595ecc46.0000a3da	user_options->segment_size	33554432
TOP.595ecc46.0000a3da	user_options->show	0
TOP.595ecc46.0000a3da	user_options->status	0
TOP.595ecc46.0000a3da	user_options->status_timer	10
TOP.595ecc46.0000a3da	user_options->stdout_flag	0
TOP.595ecc46.0000a3da	user_options->speed_only	0
TOP.595ecc46.0000a3da	user_options->progress_only	0
TOP.595ecc46.0000a3da	user_options->usage	0
TOP.595ecc46.0000a3da	user_options->username	0
TOP.595ecc46.0000a3da	user_options->veracrypt_pim	0
TOP.595ecc46.0000a3da	user_options->version	0
TOP.595ecc46.0000a3da	user_options->weak_hash_threshold	0
TOP.595ecc46.0000a3da	user_options->workload_profile	2
TOP.595ecc46.0000a3da	hashes->hashfile	example0.hash
TOP.595ecc46.0000a3da	hashes->hashlist_mode	4
TOP.595ecc46.0000a3da	hashes->hashlist_format	0
TOP.595ecc46.0000a3da	hashes->hashes_cnt	0
TOP.595ecc46.0000a3da	hashes->digests_cnt	6494
TOP.595ecc46.0000a3da	hashes->digests_done	2217
TOP.595ecc46.0000a3da	hashes->salts_cnt	1
TOP.595ecc46.0000a3da	hashes->salts_done	0
TOP.595ecc46.0000a3da	SUB.595ecc47.0001dd39	START
TOP.595ecc46.0000a3da	SUB.595ecc47.0001dd39	straight_ctx->dict	example.dict
TOP.595ecc46.0000a3da	SUB.595ecc47.0001dd39	mask_ctx->mask	?a?a?a?a
TOP.595ecc46.0000a3da	SUB.595ecc47.0001dd39	runtime_start	1499384903
TOP.595ecc46.0000a3da	SUB.595ecc47.0001dd39	runtime_stop	1499384918
TOP.595ecc46.0000a3da	SUB.595ecc47.0001dd39	status-after-work	4
TOP.595ecc46.0000a3da	SUB.595ecc47.0001dd39	STOP
TOP.595ecc46.0000a3da	proc_start	1499384902
TOP.595ecc46.0000a3da	proc_stop	1499384920
TOP.595ecc46.0000a3da	STOP
TOP.595ecc88.000ab16d	START
TOP.595ecc88.000ab16d	user_options->separator	:
TOP.595ecc88.000ab16d	user_options->encoding_from	utf-8
TOP.595ecc88.000ab16d	user_options->encoding_to	utf-8
TOP.595ecc88.000ab16d	user_options->rule_buf_l	:
TOP.595ecc88.000ab16d	user_options->rule_buf_r	:
